Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
TEDC2,2.3085369041812765e-08,GOLGA8F,1.558265514860767e-25,ZGRF1,3.1907753607818674e-16,ADAMTS20,3.058740487873606e-20,LTA,5.9635636161164625e-19,LINC02715,3.680573760211323e-26,LSR,3.6510141164683583e-32,SEMA5A,2.895890051266643e-12
LINC02220,2.3644971305776457e-08,AFG1L,1.786419154039471e-25,SLC13A3,3.4487185090975343e-16,SGCD,2.9164253016126506e-20,RBM46,5.906041570193826e-19,STEAP2-AS1,4.049558141124605e-26,PRND,7.123881712749076e-32,PMP22,3.4525161625357514e-12
SERF2-C15ORF63,2.348205908392923e-08,BCL11A,2.209845715873099e-25,LOC105375975,3.758546641865335e-16,ODF3L2,4.2943025548134985e-20,ANKRD20A4-ANKRD20A20P,6.573701531453783e-19,BRDT,2.9280698051496647e-26,MTCL1,7.021854586415644e-32,VRK2,3.7016343247236376e-12
PODXL2,2.4720308958441376e-08,LOC105378930,3.2604902453825414e-25,PLEKHA1,4.1353166233548846e-16,LOC105376817,5.0539365149611116e-20,ERLIN1,7.698338725092945e-19,MROH2A,5.383039865955771e-26,BOD1L1,7.387692390110111e-32,FN1,3.9947751803734405e-12
ABCC4,2.544994043367974e-08,MRPL41,2.793703967171297e-25,C16orf92,4.488210519606985e-16,XYLT2,6.204351222927314e-20,AK9,6.63017009440825e-19,LRRC19,4.813926242102219e-26,APP,5.301467253319176e-32,COL6A3,4.391709628685549e-12
FMR1NB,2.6329687189026362e-08,LRBA,3.7304604589410167e-25,TMEM205,4.693544598142946e-16,UBE2W,5.824736487905229e-20,LINC01015,8.910733407171288e-19,LINC00301,7.521966479863101e-26,FXYD6-FXYD2,8.229730512441077e-32,RPL10,4.785863756094725e-12
FKBP3,2.633501854330411e-08,TTLL9,5.476460719091528e-25,PLCZ1,4.806349740408435e-16,TMEM132B,5.657613811425109e-20,CIC,1.3492064792846968e-18,DHX58,9.091296986657168e-26,BTG3,1.308804520412017e-31,LPAR1,4.8914465113637815e-12
PARN,2.681417874642253e-08,CFAP69,8.33731162456391e-25,ERCC4,5.7735132463362e-16,CMIP,6.411217176739382e-20,SGMS1,1.5593928519303234e-18,HACE1,6.717278245385015e-26,ATRNL1,1.0418812755551993e-31,SLC16A12,5.145687704293859e-12
DPP7,2.8774272571515057e-08,TAS1R1,8.33731162456391e-25,ADGRF5,6.138564399315323e-16,EMD,1.0725771002727749e-19,LOC105375404,1.889702721767209e-18,HSPB9,9.693175290577332e-26,amplicon-chrX-TCEAL2/3/4/5/6,2.063871142954217e-31,SERPINE2,5.526021571673476e-12
TFDP2,2.9767934685006438e-08,NKAIN3,9.100494870815422e-25,SHC3,6.302718279656158e-16,DIAPH1,9.942725032160644e-20,ADGRA1,2.009032019359816e-18,ADAM32,7.358786063445964e-26,NAP1L1,1.48332268658294e-31,TIMP3,5.6118363342627054e-12
